Origin,ZIP,Distribution,Parameters,Chi-square,P-value,Minimum,Maximum
ONode0,91403,norm,"(147.0109589041096, 23.210174679858486)",0.9641409227160739,0.74307,88.0,210.0
ONode1,91403,norm,"(129.1917808219178, 20.361969341368)",2.6283663447280743,0.59713,66.0,201.0
ONode2,91403,norm,"(137.04109589041096, 22.35653706377523)",0.9914281179230604,0.87574,79.0,207.0
ONode3,91403,norm,"(153.02191780821917, 24.771272837015204)",2.4260870221673225,0.86116,99.0,229.0
ONode0,91405,norm,"(173.54246575342466, 25.881425707634154)",1.6193561494739794,0.35815,102.0,271.0
ONode1,91405,norm,"(154.9150684931507, 24.630550532130957)",2.3737809504999987,0.50799,97.0,235.0
ONode2,91405,norm,"(161.586301369863, 26.580893926588953)",1.5445938599043945,0.53985,91.0,244.0
ONode3,91405,norm,"(181.83287671232875, 26.64391294843868)",2.010278126368702,0.76706,112.0,253.0
ONode0,91406,norm,"(246.05205479452056, 36.329165269828)",2.624750620148284,0.54108,146.0,350.0
ONode1,91406,norm,"(223.37808219178083, 32.8532571583253)",4.354309718876523,0.39569,140.0,318.0
ONode2,91406,norm,"(235.96164383561643, 35.878236353995256)",1.0333839304473196,0.74525,143.0,340.0
ONode3,91406,norm,"(264.0986301369863, 36.02497038547236)",0.4736876519393702,0.91006,175.0,371.0
ONode0,91411,norm,"(106.76986301369863, 18.71770596038924)",0.6975766818477299,0.43705,51.0,158.0
ONode1,91411,norm,"(94.86027397260274, 17.99709824195052)",3.1424339619431616,0.29807,53.0,148.0
ONode2,91411,norm,"(99.28767123287672, 20.10607449412105)",1.5897786250805668,0.7659,50.0,178.0
ONode3,91411,norm,"(111.87671232876713, 19.514480191294446)",0.764868094172108,0.88694,63.0,176.0
ONode0,91423,norm,"(189.04109589041096, 29.281458136162655)",1.936783564400448,0.51018,103.0,288.0
ONode1,91423,norm,"(168.186301369863, 25.199006911658913)",2.25843201455241,0.38925,105.0,262.0
ONode2,91423,norm,"(177.17808219178082, 28.616090150474676)",2.0403322915480313,0.91012,104.0,269.0
ONode3,91423,norm,"(197.5917808219178, 29.783519178177926)",4.1604311985542575,0.47193,118.0,267.0
ONode0,90402,norm,"(24.59178082191781, 7.909449064246268)",1.379824289913671,0.36344,4.0,55.0
ONode1,90402,norm,"(22.315068493150687, 7.752466178231529)",2.9004234195712235,0.18604,5.0,48.0
ONode2,90402,norm,"(23.276712328767122, 8.0921155699049)",1.9229115503159786,0.12036,4.0,48.0
ONode3,90402,norm,"(26.084931506849315, 7.659959426783292)",0.34058658646884404,0.13064,8.0,55.0
ONode0,90017,norm,"(51.12328767123287, 11.305890337098868)",0.823090587626816,0.23862,23.0,89.0
ONode1,90017,norm,"(45.273972602739725, 12.089008110475392)",2.647800278318533,0.3412,15.0,92.0
ONode2,90017,norm,"(47.41917808219178, 10.945051518796458)",3.18128492150231,0.20192,25.0,85.0
ONode3,90017,norm,"(54.18356164383562, 12.567701740601604)",0.6475928332121008,0.82329,23.0,97.0
ONode0,91436,norm,"(119.67123287671232, 20.404172816927147)",0.7500620195142471,0.70432,68.0,184.0
ONode1,91436,norm,"(105.72602739726027, 19.49222554818118)",2.5479328435525357,0.22517,60.0,173.0
ONode2,91436,norm,"(111.56164383561644, 20.104512068612422)",0.17303623356202036,0.84618,52.0,176.0
ONode3,91436,norm,"(125.10958904109589, 21.034454217180784)",0.23818573576225974,0.96978,74.0,207.0
ONode0,91504,norm,"(24.145205479452056, 8.827308826712802)",1.6270004899929602,0.05524,4.0,50.0
ONode1,91504,norm,"(21.742465753424657, 7.920459337174888)",0.4220435065641334,0.15349,2.0,54.0
ONode2,91504,norm,"(22.794520547945204, 8.348174936483167)",3.6952625050369656,0.008,1.0,47.0
ONode3,91504,norm,"(25.024657534246575, 8.267576226654286)",1.2187462133262796,0.06148,6.0,51.0
ONode0,91505,expon,"(1.0, 3.4908536585365857)",107.31168725345817,0.0,1.0,16.0
ONode1,91505,expon,"(1.0, 3.141955835962145)",106.68941132877933,0.0,1.0,15.0
ONode2,91505,expon,"(1.0, 3.389221556886228)",126.21017993008603,0.0,1.0,16.0
ONode3,91505,expon,"(1.0, 3.666666666666667)",107.78155761658685,1e-05,1.0,20.0
ONode0,90501,norm,"(87.27671232876712, 16.56296016614151)",2.187108055988507,0.44704,44.0,141.0
ONode1,90501,norm,"(78.74246575342465, 17.154079492503485)",0.3983279809267567,0.32705,31.0,132.0
ONode2,90501,norm,"(80.73972602739725, 17.21311016547488)",2.7293101738896866,0.19547,42.0,139.0
ONode3,90501,norm,"(91.3945205479452, 18.074062929997865)",0.9360688895465397,0.58699,39.0,168.0
ONode0,90502,expon,"(1.0, 2.3626373626373627)",177.1314959902789,0.0,1.0,22.0
ONode1,90502,expon,"(1.0, 2.0846774193548385)",172.10862904516188,0.0,1.0,14.0
ONode2,90502,expon,"(1.0, 1.8888888888888888)",292.42831873616325,0.0,1.0,11.0
ONode3,90502,expon,"(1.0, 1.9960474308300395)",184.39883825675142,0.0,1.0,14.0
ONode0,90001,norm,"(65.37260273972603, 12.80403682356352)",0.6529304953528139,0.3776,29.0,104.0
ONode1,90001,norm,"(58.31232876712329, 13.29562648459784)",5.218558245749635,0.10381,22.0,103.0
ONode2,90001,norm,"(60.602739726027394, 13.660802565752741)",1.3692531948495046,0.29372,27.0,119.0
ONode3,90001,norm,"(67.5123287671233, 15.177777060381798)",0.7923293069728581,0.44356,29.0,115.0
ONode0,90002,norm,"(188.26849315068492, 29.07146073447728)",0.7397098225451806,0.82286,107.0,284.0
ONode1,90002,norm,"(167.84383561643835, 25.717117514084894)",2.7207636904049513,0.19268,97.0,245.0
ONode2,90002,norm,"(177.35890410958905, 28.32859940068523)",0.2983283040251307,0.89888,101.0,258.0
ONode3,90002,norm,"(198.19452054794522, 31.462401524702983)",4.810451202279894,0.69138,89.0,292.0
ONode0,90003,norm,"(395.95616438356166, 50.95222846243378)",1.2205830003809797,0.79076,252.0,550.0
ONode1,90003,norm,"(352.73150684931505, 44.455971374834334)",0.6207477529059726,0.96162,234.0,468.0
ONode2,90003,norm,"(370.8191780821918, 46.21812684044561)",4.640627304511401,0.53253,258.0,507.0
ONode3,90003,norm,"(414.32602739726025, 49.13286997128997)",1.400991436745708,0.68909,272.0,631.0
ONode0,90004,norm,"(240.15342465753426, 32.95457264378852)",3.6461738827099586,0.03315,164.0,351.0
ONode1,90004,norm,"(210.04657534246576, 29.57304438209136)",0.9652723538247746,0.69755,136.0,322.0
ONode2,90004,norm,"(221.7917808219178, 29.988407593257737)",1.1556020182965978,0.90469,118.0,334.0
ONode3,90004,norm,"(246.6958904109589, 34.474816849548425)",0.6636946288475231,0.91396,142.0,353.0
ONode0,90005,norm,"(88.54246575342465, 18.38124355064165)",1.9027385360976945,0.2895,37.0,154.0
ONode1,90005,norm,"(77.11780821917809, 17.008292437351052)",6.874912353008979,0.03746,39.0,127.0
ONode2,90005,norm,"(81.4, 15.616956011607806)",4.736507630578699,0.1628,45.0,132.0
ONode3,90005,norm,"(90.7972602739726, 17.602381319308467)",2.396051363335399,0.52475,47.0,136.0
ONode0,90006,norm,"(223.64657534246575, 30.36036566545624)",2.221816560386534,0.43306,152.0,304.0
ONode1,90006,norm,"(193.83835616438355, 29.487283677335686)",4.9418509414871625,0.1928,119.0,304.0
ONode2,90006,norm,"(205.13150684931506, 31.31080113303425)",1.2977495293962578,0.48188,118.0,309.0
ONode3,90006,norm,"(231.6958904109589, 31.841269156040912)",1.4638505413974359,0.97491,132.0,326.0
ONode0,90007,norm,"(215.96164383561643, 31.593976494301284)",0.9697493756430386,0.84424,126.0,306.0
ONode1,90007,norm,"(192.43287671232878, 28.727706328605638)",2.676365511079596,0.50289,122.0,287.0
ONode2,90007,norm,"(202.4794520547945, 31.68652519844691)",0.6965577371834939,0.84053,118.0,304.0
